F001001001AVES                          01001.png
F001002002OVINO                         01002.png
F001003003CERDO                         01003.png
F001004004VACUNO                        01004.png
F001005005CAZA                          01005.png
F001006006CABALLO                       01006.png
F001007007HAMBURGUESAS                  01007.png
F001008008ELABORADOS                    01008.png
F001009009LIBRE SERVICIO                01009.png
F001010010GENERICO CARNE KG             01010.png
F001011011GENERICO CARNE UND            01011.png
F001012012CHARCUTERIA                   01012.png
F001013013QUESOS                        01013.png
F002014001PANADERIA                     02014.png
F002015002BOLLERIA                      02015.png
F003016001Fruteria                      03016.png
50590238010128000000700999W0000BURGET MEAT MIXTA KG     0000020000000000000000000000000
50590131010129000000809900W0000ALAS POLLO AJILLO KG     0000020000000000000000000000000
50590132010130000000800799W0000ALAS POLLO BARBACOA      0000020000000000000000000000000
50590134010131000000809900W0000ALAS POLLO MOSTAZA M     0000020000000000000000000000000
50590257010132000000809900W0000ALBONDIGAS KG            0000020000000000000000000000000
50590381010133000000801299W0000ALETA RELLENA VACUNO     0000020000000000000000000000000
50590165010134000000809900W0000BROCHETA CERDO KG        0000020000000000000000000000000
50590135010135000000809900W0000BROCHETA POLLO KG        0000020000000000000000000000000
50590205010136000000809900W0000BROCHETA TERNERA KG      0000020000000000000000000000000
50590136010137000000809900W0000BROCHETITA POLLO AJI     0000020000000000000000000000000
50590137010138000000809900W0000BROCHETITA POLLO BAR     0000020000000000000000000000000
50590138010139000000809900W0000BROCHETITA POLLO MEX     0000020000000000000000000000000
50590139010140000000809900W0000BROCHETITA POLLO MIE     0000020000000000000000000000000
50590290010141000000800799W0000BUTIFARRA BLANCA KG      0000020000000000000000000000000
50590397010142000000809900W0000BUTIFARRA EXTRA KG       0000020000000000000000000000000
50590398010143000000809900W0000BUTIFARRA KG             0000020000000000000000000000000
50590170010144000000809900W0000CACHOPO CERDO JAMON      0000020000000000000000000000000
50590141010145000000809900W0000CACHOPO POLLO JAMON      0000020000000000000000000000000
50590210010146000000801849W0000CACHOPO TERNERA JAMO     0000020000000000000000000000000
50590194010147000000809900W0000CHISTORRA FRESCA KG      0000020000000000000000000000000
50590195010148000000800899W0000CHORIZO CRIOLLO FRES     0000020000000000000000000000000
50590196010149000000800799W0000CHORIZO FRESCO KG        0000020000000000000000000000000
50590258010150000000800849W0000CHORIZO MINI APERITI     0000020000000000000000000000000
50590197010151000000809900W0000CHORIZO OREADO KG        0000020000000000000000000000000
50590144010152000000809900W0000CHURRASCO POLLO MEXI     0000020000000000000000000000000
50590312010153000000800999W0000COSTILLA ADOBADA KG      0000020000000000000000000000000
50590172010154000000809900W0000COSTILLA CERDO AJILL     0000020000000000000000000000000
50590176010155000000809900W0000FAJITA CERDO C/VERDU     0000020000000000000000000000000
50590150010156000000809900W0000FAJITA POLLO VERDURA     0000020000000000000000000000000
50590178010157000000809900W0000FLAMENQUIN JAMON SER     0000020000000000000000000000000
50590152010158000000800649W0000JAMONCITO POLLO AJIL     0000020000000000000000000000000
50590153010159000000809900W0000JAMONCITO POLLO BARB     0000020000000000000000000000000
50590157010160000000809900W0000LIBRITOS POLLO KG        0000020000000000000000000000000
50590187010161000000800799W0000LONGANIZA FRESCA KG      0000020000000000000000000000000
50590188010162000000800799W0000LONGANIZA MIXTA POLL     0000020000000000000000000000000
50590264010163000000800699W0000MORCILLA ARROZ KG        0000020000000000000000000000000
50590396010164000000809900W0000MORCILLA BURGOS KG       0000020000000000000000000000000
50590190010165000000800699W0000MORCILLA FRESCA KG       0000020000000000000000000000000
50590191010166000000809900W0000MORCILLA OREADA KG       0000020000000000000000000000000
50590387010167000000800899W0000MUSLOS DESHUESADOS P     0000020000000000000000000000000
50590159010168000000800999W0000PECHUGA POLLO EMPANA     0000020000000000000000000000000
50590180010169000000809900W0000PELOTA COCIDO CERDO      0000020000000000000000000000000
50590221010170000000800699W0000PICADA CERDO KG          0000020000000000000000000000000
50590222010171000000800999W0000PICADA MIXTA KG          0000020000000000000000000000000
50590223010172000000800699W0000PICADA POLLO KG          0000020000000000000000000000000
50590220010173000000801199W0000PICADA TERNERA KG        0000020000000000000000000000000
50590181010174000000809900W0000PINCHO AMARILLO CERD     0000020000000000000000000000000
50590182010175000000809900W0000PINCHO CERDO C/VERDU     0000020000000000000000000000000
50590183010176000000800799W0000PINCHO MORUNO CERDO      0000020000000000000000000000000
50590162010177000000809900W0000PINCHO POLLO KG          0000020000000000000000000000000
50590388010178000000801199W0000POLLO ENTERO DESHUES     0000020000000000000000000000000
50590389010179000000809900W0000POLLO ENTERO RELLENO     0000020000000000000000000000000
50590185010180000000809900W0000TORREZNO SORIA KG        0000020000000000000000000000000
50590319010181000000809900U0000ZARAJO UD                0000020000000000000000000000000
50590401010263000000801099W0000PECHUGA PAVO MARINAD     0000020000000000000000000000000
50590402010264000000801099W0000PECHUGA PAVO MARINAD     0000020000000000000000000000000
50590403010265000000800999W0000CHULETA PAVO MARINAD     0000020000000000000000000000000
50590405010267000000802199W0000LOMO CERDO IBERICO A     0000020000000000000000000000000
50590409010271000000800899W0000COSTILLA CERDO IBERI     0000020000000000000000000000000
50590412010274000000801599W0000MSTPP BURRITO POLLO      0000020000000000000000000000000
50590413010275000000801599W0000MSTPP POLLO KEBAB LO     0000020000000000000000000000000
50590414010276000000802299W0000MSTPP LANGOSTINO GAB     0000020000000000000000000000000
50590415010277000000801799W0000MSTPP PAVIA MERLUZA      0000020000000000000000000000000
50590416010278000000801799W0000MSTPP TORTILLITA BAC     0000020000000000000000000000000
50590417010279000000801799W0000MSTPP TORTILLITA LAN     0000020000000000000000000000000
50590418010280000000802049W0000MSTPP BOCADITOS BACA     0000020000000000000000000000000
50590419010281000000800999W0000MSTPP PIMIENTO PIQUI     0000020000000000000000000000000
50590420010282000000801399W0000MSTPP PECHUGA VILLAR     0000020000000000000000000000000
50590421010283000000801099W0000MSTPP SEVILLANA PAVO     0000020000000000000000000000000
50590455010358000000801199W0000MSTPP CROQUETAS POLL     0000020000000000000000000000000
50590456010359000000801299W0000MSTPP CROQUETAS IBER     0000020000000000000000000000000
50590189010360000000800849W0000LONGANIZA ROJA FRESC     0000020000000000000000000000000
50959907010255000001000000W0000CARN. G2 BAL (PESO)      0000020000000000000000000000000
50959908010256000001100000U0000CARN. G2 BAL (UNIT)      0000020000000000000000000000000
50959905010182000001200000W0000CHAR G2 BAL (PESO)       0000020000000000000000000000000
50959906010183000001200000U0000CHAR G2 BAL (UNIT)       0000020000000000000000000000000
50042238010189000001202099W0000QUESO BOFFARD RESERV     0000010000000000000000000000000
50043404010195000001201299W0000CHORIZO PAMPLONA PAM     0000020000000000000000000000000
50043404010196000001201299W0000CHORIZO PAMPLONA PAM     0000020000000000000000000000000
51043531010197000001200945W0000SALCHICHON PAMPLONIC     0000020000000000000000000000000
50043550010198000001201395W0000SALCHI.MONTA—ES ELPO     0000020000000000000000000000000
50043553010200000001201399W0000SALCHICHON NOBLEZA E     0000020000000000000000000000000
50043561010201000001200645U0000SALCHICHON PAGES EXT     0000020000000000000000000000000
50043807010202000001201799W0000CEN.JAMON RESERVA CR     0000020000000000000000000000000
50043950010203000001201399W0000JAM.COC.EX.CAMPOFRIO     0000020000000000000000000000000
50043956010204000001201199W0000JAMON COC.BONNATUR E     0000020000000000000000000000000
50044037010206000001200699W0000FIAMBRE BARRA SANDWI     0000020000000000000000000000000
50044044010208000001200499W0000MORTADELA DE PAVO EL     0000020000000000000000000000000
50042235010210000001202299W0000QUESO FLOR DE ESGUEV     0000010000000000000000000000000
50044047010211000001200699W0000MORTADELA ELPOZO ACE     0000020000000000000000000000000
50044049010212000001200749W0000MORTADELA IBERICA EL     0000020000000000000000000000000
50044080010213000001200455W0000LUNCH PAMPLONICA 1,3     0000020000000000000000000000000
50044219010214000001201499W0000SOBRASADA CIUDADELA      0000020000000000000000000000000
50044507010215000001200569W0000LOMO SAJONIA EL POZO     0000020000000000000000000000000
50044549010216000001204999W0000CA—A DE LOMO IB.CEBO     0000020000000000000000000000000
50044555010217000001201799W0000CENTRO JAMON CURAD.C     0000020000000000000000000000000
50044640010218000001201299W0000PAVO FRIO CAMPOFRIO      0000020000000000000000000000000
50044705010219000001201599W0000SALAMI CAMPOFRIO GIG     0000020000000000000000000000000
50062675010220000001200299U000010771 MAGRETA ADOBAD     0000020000000000000000000000000
50110815010221000001200005W0000CHORIZO PAMPLONA PAM     0000020000000000000000000000000
50110816010222000001200005W0000SALCHICHON PAMPLONIC     0000020000000000000000000000000
50142448010224000001200889W0000QUESO EL REBA—O DEL      0000010000000000000000000000000
50143441010225000001200799W0000CHORIZO CULAR BLANCO     0000020000000000000000000000000
50143442010226000001200799W0000CHORIZO CULAR ROJO L     0000020000000000000000000000000
50143479010227000001203999W0000CENTRO PALETA AZUAGA     0000020000000000000000000000000
50143585010228000001200599W0000YORK SANDWICH ELPOZO     0000020000000000000000000000000
50042217010229000001202099W0000QUESO BOFFARD ARTESA     0000010000000000000000000000000
50143646010230000001212900U0000JAMON IBERICO CEBO 5     0000020000000000000000000000000
50143683010231000001200699W0000PAVO SANDWICH 4 kg E     0000020000000000000000000000000
50143790010232000001201699W0000CENTRO PALETA DESH.V     0000020000000000000000000000000
50144276010233000001201799W0000CENTRO JAMON SERRANO     0000020000000000000000000000000
50144686010234000001201699W0000PECHUGA DE PAVO ASAD     0000020000000000000000000000000
50301520010235000001200899W000070591 CHOPPED DE PAV     0000020000000000000000000000000
50301521010236000001200885W000070589 PASTRAMI DE PA     0000020000000000000000000000000
50301522010237000001201299W000071882 JAMON COCIDO B     0000020000000000000000000000000
50301524010238000001200949W000070536 SALCHICHON ORE     0000020000000000000000000000000
50042271010239000001201099W0000QUESO COALIMENT BAR.     0000010000000000000000000000000
50042276010240000001201699W0000QUESO COALIMENT CABR     0000010000000000000000000000000
50042656010241000001200999U0000QUESO RULO VACA COME     0000010000000000000000000000000
50043327010242000001201799W0000CHORIZO IBERICO RECE     0000020000000000000000000000000
50043401010243000001201399W0000CHORIZO REVILLA TRAD     0000020000000000000000000000000
51558453010284000001201099W00001542 SEVILLANA DE PA     0000020000000000000000000000000
50568293010285000001200899W0000PASTRAMI DE PAVO TEL     0000020000000000000000000000000
50555331010287000001201849W0000CHORIZO IBERICO BELL     0000020000000000000000000000000
50555332010288000001201849W0000SALCHICHON IBER.BELL     0000020000000000000000000000000
50555335010289000001203269W0000CENTRO JAMON IBER.CE     0000020000000000000000000000000
50555336010290000001208489W0000CENTRO JAMON IBERICO     0000020000000000000000000000000
51555337010291000001203599W0000CENTRO PALETA IBER.C     0000020000000000000000000000000
51558450010292000001200369U00001622 MINI PIC KAMPER     0000020000000000000000000000000
50558451010293000001200999W00001331 PIC KAMPER 3000     0000020000000000000000000000000
50558452010294000001201299W00001421 BACON 1964 SANT     0000020000000000000000000000000
50301867010296000001201199W000070581 JAMON COCIDO E     0000020000000000000000000000000
50301874010297000001200799W000092069 MORTADELA EXTR     0000020000000000000000000000000
50301875010298000001202299W000072092 CENTRO J.CURAT     0000020000000000000000000000000
50350700010300000001200899W0000220006 CHORIZO ROJO      0000020000000000000000000000000
50350701010301000001200949W0000222006 SALCHICHON EX     0000020000000000000000000000000
50350702010303000001200899W0000220206 CHORIZO ROJO      0000020000000000000000000000000
50350950010304000001201145W00001074 SALCHICHON SEGU     0000020000000000000000000000000
50350951010305000001200799U00001410 LOMO ORZA MANCH     0000020000000000000000000000000
50351537010306000001201399W000001004P CHORIZO CULAR     0000020000000000000000000000000
50351538010307000001201399W000001109P CHORIZO CULAR     0000020000000000000000000000000
50351539010308000001201999W000001202M LOMO PART.MIT     0000020000000000000000000000000
50351542010323000001206999W000002003H JAMON SERRANO     0000020000000000000000000000000
50351543010324000001202510W000002005H JAMON CEBO IB     0000020000000000000000000000000
50590268010337000001209900W0000PUNTAS DE JAMON KG       0000020000000000000000000000000
50590422010338000001201199W0000MSTPP PALETA KAMPER      0000020000000000000000000000000
50590423010339000001201099W0000MSTPP PAVO TRUFADO K     0000020000000000000000000000000
50590462010340000001200999W0000MST CHOPPED ROJO KG      0000020000000000000000000000000
50352002010341000001201099W000016AH008 PALETA LACON     0000020000000000000000000000000
50352005010342000001201199W000011FI049 CHICHARRON F     0000020000000000000000000000000
50352006010343000001202599W000017OG042 CU—AS QUESO      0000010000000000000000000000000
50352008010344000001200779W000005DJ009 MEDALL.CODIL     0000020000000000000000000000000
50352009010345000001201099W000006LM02 CHORIZO SARTA     0000020000000000000000000000000
50352010010346000001201099W000006LM04 CHORIZO SARTA     0000020000000000000000000000000
50352011010347000001201199W000006LM05 SALCHICHON SA     0000020000000000000000000000000
50352013010348000001201899U000011FI046 CHOPPED ROJO     0000020000000000000000000000000
50352200010349000001201299W00001221 PALETA COCIDA K     0000020000000000000000000000000
50352201010350000001200999W00001222 LINGOTE DE PAVO     0000020000000000000000000000000
50371708010351000001201399W000012205 CHORIZO CIERVO     0000020000000000000000000000000
50401601010352000001200499U00008557 TORREZNO SORIAN     0000020000000000000000000000000
50555302010353000001203999W0000LOMO IBERICO RECEBO      0000020000000000000000000000000
50555306010361000001201799W0000SALCHICHON IBER.RECE     0000020000000000000000000000000
50555308010362000001200799W0000PANCETA ADOBADA TACO     0000020000000000000000000000000
50555309010363000001201639W0000CENTRO JAMON ALTO RE     0000020000000000000000000000000
50627404010364000001202399W0000QUESO OVEJA CUR.ARTE     0000010000000000000000000000000
50555316010365000001201699W0000CABECERO LOMO TRIPA      0000020000000000000000000000000
50631995010366000001200899W0000LOMO TIPO SAJONIA E/     0000020000000000000000000000000
50555321010367000001201599W0000JAMON DE CEBO IBERIC     0000020000000000000000000000000
50590371010190000001309900W0000MST Q.FRESCO F.BURGO     0000020000000000000000000000000
50590372010191000001309900W0000MST QUESO BRIE PRESI     0000020000000000000000000000000
50590368010192000001309900W0000MST QUESO COALIMENT      0000020000000000000000000000000
50590369010193000001309900W0000MST QUESO RULO CABRA     0000020000000000000000000000000
50590370010194000001309900W0000MST QUESO RULO VACA      0000020000000000000000000000000
50042873010244000001300999U0000Q.FRESCO F.BURGOS-AS     0000010000000000000000000000000
50310401010245000001301549W0000006015 QUESO AZUL AL     0000010000000000000000000000000
50042536010246000001300599W0000QUESO COALIMENT BAR.     0000010000000000000000000000000
50142454010247000001301690U0000QUESO BRIE PRESIDENT     0000010000000000000000000000000
50042529010248000001301399W0000QUESO COALIMENT MEZC     0000010000000000000000000000000
50042528010249000001301299W0000QUESO COALIMENT MEZC     0000010000000000000000000000000
50042531010250000001301799W0000QUESO COALIMENT OVEJ     0000010000000000000000000000000
50042530010251000001301399W0000QUESO COALIMENT OVEJ     0000010000000000000000000000000
50142408010252000001300855W0000007240 QUESO HAVARTI     0000010000000000000000000000000
50042655010253000001301199U0000QUESO RULO CABRA COM     0000010000000000000000000000000
50310432010254000001300939W00003208 Q.SOMBRERO COPA     0000010000000000000000000000000
50959903010259000001300000W0000CHAR G1 BAL (PESO)       0000010000000000000000000000000
50959904010260000001300000U0000CHAR G1 BAL (UNIT)       0000010000000000000000000000000
50627405010286000001302299W0000QUESO OVEJA SEMI E/K     0000010000000000000000000000000
