L00      00101040840000000000000400000500000020000099016Z. CONO MIXTO GOURMET    19/11/1612:260064971
00H      0104042001001610000019/11/1612:26000006001064972
L00      00101040420000000000000600000100000006000070842EMPANADA MINI CAPRESSE   19/11/1612:260064972
00H      0104084002001610000019/11/1612:27000010001064973
L00      00101040840000000000000100000500000005000099014Z. CONO DE CROQUETAS DE J19/11/1612:270064973
L00      00201040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:270064973
00H      0103020004001610000019/11/1612:29000030721064974
L00      00101030200000185000000000003415000006320031838Q. CANTELL               19/11/1612:290064974
L00      00201030200000000000000100000665000006650031969Q. TIMBAL MINI           19/11/1612:290064974
L00      00301030200000300000000000003840000011520031794Q. EL MINER              19/11/1612:290064974
L00      00401030200000250000000000002490000006230010390SALCHICHON MAS MONTSENY  19/11/1612:290064974
00H      0104084001001610000019/11/1612:30000005001064975
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:300064975
00H      0104084001001610000019/11/1612:31000005001064976
L00      00101040840000000000000100000500000005000099006Z. CONO DE BASTONETS     19/11/1612:310064976
00H      0101019001001610000019/11/1612:32000018501064977
L00      00101010190000100000000000018500000018500020121JAMON IB. BELLOT. RVA. YD19/11/1612:320064977
00H      0103042001001610000019/11/1612:33000005001064978
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:330064978
00H      0103042001001610000019/11/1612:34000005001064979
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:340064979
00H      0104084002001610000019/11/1612:35000008001064982
L00      00101040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1612:350064982
L00      00201040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1612:350064982
00H      0102020004001610000019/11/1612:51000062281064996
L00      00101020200000415000000000002800000011620031967Q. CABRA GARROTXA KG     19/11/1612:510064996
L00      00201020200000350000000000002240000007840030087Q. P. A?EJO BOFFARD RVA. 19/11/1612:510064996
L00      00301020200000430000000000003400000014620031807Q. CABRA CON PIMIENTA 50019/11/1612:510064996
L00      00401020200000235000000000012000000028200020074ESPALDA IB. BELLOTA YDETA19/11/1612:510064996
00H      0101019001001610000019/11/1611:26000005001064903
L00      00101010190000000000000100000500000005000090427TAPA JAMON IBERICO       19/11/1611:260064903
00H      0104084001001610000019/11/1612:36000006001064983
L00      00101040840000000000000200000300000006000090400VASO CHIPS & HAM.-       19/11/1612:360064983
00H      0103020002001610000019/11/1612:41000014451064987
L00      00101030200000215000000000003710000007980031868Q. IDIAZABAL AHUMADO GROS19/11/1612:410064987
L00      00201030200000260000000000002490000006470010390SALCHICHON MAS MONTSENY  19/11/1612:410064987
00H      0104084001001610000019/11/1612:37000003001064984
L00      00101040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1612:370064984
00H      0101019001001610000019/11/1612:38000005001064985
L00      00101010190000000000000100000500000005000090427TAPA JAMON IBERICO       19/11/1612:380064985
00H      0104084001001610000019/11/1612:44000003001064990
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1612:440064990
00H      0103042001001610000019/11/1612:34000005001064981
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:340064981
00H      0104084002001610000019/11/1612:43000006001064988
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1612:430064988
L00      00201040840000000000000100000300000003000090400VASO CHIPS & HAM.-       19/11/1612:430064988
00H      0104084002001610000019/11/1612:34000010001064980
L00      00101040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1612:340064980
