03/12/2025 13:53:53 - -----------------------------------------------------------
03/12/2025 14:27:15 - Encontrados 3 ficheros.
03/12/2025 14:27:15 - Tratando 005566.03C
03/12/2025 14:27:16 - Tratando 205567.03C
03/12/2025 14:27:17 - Tratando tqgen03C
03/12/2025 14:28:14 - -----------------------------------------------------------
03/12/2025 14:28:14 - Conectando Oracle
03/12/2025 14:28:14 - Comprobando C:\greenvb
03/12/2025 14:28:14 - Conectando a XE
03/12/2025 14:28:15 - Encontrados 2 ficheros.
03/12/2025 14:28:15 - Tratando 206212.03C
03/12/2025 14:28:16 - Tratando tqgen03C
03/12/2025 14:29:14 - -----------------------------------------------------------
03/12/2025 14:29:14 - Conectando Oracle
03/12/2025 14:29:14 - Comprobando C:\greenvb
03/12/2025 14:29:14 - Conectando a XE
03/12/2025 14:29:15 - Encontrados 1 ficheros.
03/12/2025 14:29:15 - Tratando tqgen03C
03/12/2025 14:30:14 - -----------------------------------------------------------
03/12/2025 14:30:14 - Conectando Oracle
03/12/2025 14:30:14 - Comprobando C:\greenvb
03/12/2025 14:30:14 - Conectando a XE
03/12/2025 14:30:15 - Encontrados 1 ficheros.
03/12/2025 14:30:15 - Tratando tqgen03C
03/12/2025 14:31:14 - -----------------------------------------------------------
03/12/2025 14:31:14 - Conectando Oracle
03/12/2025 14:31:14 - Comprobando C:\greenvb
03/12/2025 14:31:14 - Conectando a XE
03/12/2025 14:31:15 - Encontrados 1 ficheros.
03/12/2025 14:31:15 - Tratando tqgen03C
03/12/2025 14:32:14 - -----------------------------------------------------------
03/12/2025 14:32:14 - Conectando Oracle
03/12/2025 14:32:14 - Comprobando C:\greenvb
03/12/2025 14:32:14 - Conectando a XE
03/12/2025 14:32:15 - Encontrados 1 ficheros.
03/12/2025 14:32:15 - Tratando tqgen03C
03/12/2025 14:33:14 - -----------------------------------------------------------
03/12/2025 14:33:14 - Conectando Oracle
03/12/2025 14:33:14 - Comprobando C:\greenvb
03/12/2025 14:33:14 - Conectando a XE
03/12/2025 14:33:15 - Encontrados 2 ficheros.
03/12/2025 14:33:15 - Tratando 205568.03C
03/12/2025 14:33:16 - Tratando tqgen03C
03/12/2025 14:34:14 - -----------------------------------------------------------
03/12/2025 14:34:14 - Conectando Oracle
03/12/2025 14:34:14 - Comprobando C:\greenvb
03/12/2025 14:34:14 - Conectando a XE
03/12/2025 14:34:15 - Encontrados 1 ficheros.
03/12/2025 14:34:15 - Tratando tqgen03C
03/12/2025 14:35:14 - -----------------------------------------------------------
03/12/2025 14:35:14 - Conectando Oracle
03/12/2025 14:35:14 - Comprobando C:\greenvb
03/12/2025 14:35:14 - Conectando a XE
03/12/2025 14:35:15 - Encontrados 2 ficheros.
03/12/2025 14:35:15 - Tratando 206214.03C
03/12/2025 14:35:16 - Tratando tqgen03C
03/12/2025 14:36:14 - -----------------------------------------------------------
03/12/2025 14:36:14 - Conectando Oracle
03/12/2025 14:36:14 - Comprobando C:\greenvb
03/12/2025 14:36:14 - Conectando a XE
03/12/2025 14:36:15 - Encontrados 3 ficheros.
03/12/2025 14:36:15 - Tratando 106215.03C
03/12/2025 14:36:16 - Tratando 206933.03C
03/12/2025 14:36:17 - Tratando tqgen03C
03/12/2025 14:37:14 - -----------------------------------------------------------
