ART 030706,001454,MELOCOTON ROJO           ,001,0000,002,001454,0000135,000000000,000003845,000000519,0000000,0000000,01
ART 030706,000058,PATATA KENEBEC KG.       ,001,0000,001,000058,0000095,000000000,000021850,000002077,0000000,0000000,01
ART 030706,000401,ALBARICOQUE              ,001,0000,002,000401,0000175,000000000,000003970,000000695,0000000,0000000,01
ART 030706,000501,VARIOS NO PESADOS        ,001,0000,005,000501,0000316,000000000,000000000,-000006730,0000000,0000000,01
ART 030706,001635,COLACAO ENERGY           ,001,0000,000,001635,0000085,000000002,000000000,000000170,0000000,0000000,01
ART 030706,000025,CEBOLLA TIERNA UD.       ,001,0000,001,000025,0000150,000000005,000000000,000000750,0000000,0000000,01
ART 030706,000491,SANDIA BRUÑO             ,001,0000,002,000491,0000110,000000000,000026290,000002892,0000000,0000000,01
ART 030706,000467,NARANJA BOLSA            ,001,0000,000,000467,0000180,000000009,000000000,000001620,0000000,0000000,01
ART 030706,004835,SANDIA ESTUDIANTE        ,001,0000,002,002491,0000090,000000000,000005925,000000533,0000000,0000000,01
ART 030706,000050,LECHUGA LARGA UD.        ,001,0000,001,000050,0000080,000000013,000000000,000001040,0000000,0000000,01
ART 030706,000222,SALCHICHON EXTRA         ,001,0000,000,000222,0000582,000000001,000000000,000000582,0000000,0000000,01
ART 030706,000633,ZUMO P M I PI 0 2L       ,001,0000,002,000633,0000095,000000002,000000000,000000190,0000000,0000000,01
ART 030706,004839,PATATA MONALIS 3KG       ,001,0000,001,001059,0000345,000000002,000000000,000000690,0000000,0000000,01
ART 030706,001069,REMOLACHA MANOJO UD.     ,001,0000,000,001069,0000060,000000001,000000000,000000060,0000000,0000000,01
ART 030706,000054,LECHUGA MIXTO UD.        ,001,0000,001,000054,0000020,000000001,000000000,000000020,0000000,0000000,01
ART 030706,000014,BROQUIL VERDE UD.        ,001,0240,001,000014,0000280,000000004,000000000,000000939,0000000,0000000,01
ART 030706,004840,PEPINO ESPAÑOL KG.       ,001,0000,001,001062,0000099,000000000,000004835,000000479,0000000,0000000,01
ART 030706,000065,PIMIENTO VERDE KG.       ,001,0000,001,000065,0000220,000000000,000002460,000000543,0000000,0000000,01
ART 030706,000079,TOMATE RAMA KG.          ,001,0000,001,000079,0000170,000000000,000007775,000001323,0000000,0000000,01
ART 030706,000051,LECHUGA REDONDA UD.      ,001,0000,001,000051,0000070,000000025,000000000,000001700,0000000,0000000,01
ART 030706,001491,SANDIA PERIS KG.         ,001,0000,002,001491,0000110,000000000,000007310,000000804,0000000,0000000,01
ART 030706,000300,ACEITUNAS VARIAS         ,001,0000,000,000300,0000450,000000000,000008430,000003797,0000000,0000000,01
ART 030706,001076,TOMATE MADURO KG.        ,001,0000,001,001076,0000099,000000000,000024850,000002459,0000000,0000000,01
ART 030706,000449,MELOCOTON AMARILLO       ,001,0000,002,000449,0000295,000000000,000010220,000003015,0000000,0000000,01
