29/09/2025 10:34:10	Inicio aplicación Transfer K-Scale y TouchScale.

29/09/2025 10:34:10	Inicio transferencia balanza: 1
29/09/2025 10:34:10	OK Ping con la balanza	1
29/09/2025 10:34:10	OK - Acceso a balanza
29/09/2025 10:34:10	Copiando:	Images
29/09/2025 10:34:14		Copiado:	414654.png
29/09/2025 10:34:14		Copiado:	414655.png
29/09/2025 10:34:14		Copiado:	414656.png
29/09/2025 10:34:14		Copiado:	414657.png
29/09/2025 10:34:14		Copiado:	414658.png
29/09/2025 10:34:14		Copiado:	414659.png
29/09/2025 10:34:14		Copiado:	414660.png
29/09/2025 10:34:14		Copiado:	414661.png
29/09/2025 10:34:14		Copiado:	414662.png
29/09/2025 10:34:14		Copiado:	414663.png
29/09/2025 10:34:14		Copiado:	415405.png
29/09/2025 10:34:14		Copiado:	415406.png
29/09/2025 10:34:14		Copiado:	415407.png
29/09/2025 10:34:14		Copiado:	415409.png
29/09/2025 10:34:14		Copiado:	415414.png
29/09/2025 10:34:14		Copiado:	415431.png
29/09/2025 10:34:14		Copiado:	415449.png
29/09/2025 10:34:14		Copiado:	415451.png
29/09/2025 10:34:14		Copiado:	415452.png
29/09/2025 10:34:14		Copiado:	416504.png
29/09/2025 10:34:14		Copiado:	416505.png
29/09/2025 10:34:14		Copiado:	416530.png
29/09/2025 10:34:14		Copiado:	416531.png
29/09/2025 10:34:14		Copiado:	416532.png
29/09/2025 10:34:14		Copiado:	416535.png
29/09/2025 10:34:14		Copiado:	416537.png
29/09/2025 10:34:14		Copiado:	416538.png
29/09/2025 10:34:14		Copiado:	416542.png
29/09/2025 10:34:14		Copiado:	416545.png
29/09/2025 10:34:14		Copiado:	416546.png
29/09/2025 10:34:14		Copiado:	416553.png
29/09/2025 10:34:14		Copiado:	416554.png
29/09/2025 10:34:15		Copiado:	416563.png
29/09/2025 10:34:15		Copiado:	416569.png
29/09/2025 10:34:15		Copiado:	420600.png
29/09/2025 10:34:15		Copiado:	420602.png
29/09/2025 10:34:15		Copiado:	420603.png
29/09/2025 10:34:15		Copiado:	420604.png
29/09/2025 10:34:15		Copiado:	420605.png
29/09/2025 10:34:15		Copiado:	420606.png
29/09/2025 10:34:15		Copiado:	420607.png
29/09/2025 10:34:15		Copiado:	420616.png
29/09/2025 10:34:15		Copiado:	420617.png
29/09/2025 10:34:15		Copiado:	420618.png
29/09/2025 10:34:15		Copiado:	420619.png
29/09/2025 10:34:15		Copiado:	420620.png
29/09/2025 10:34:15		Copiado:	420621.png
29/09/2025 10:34:15		Copiado:	494599.png
29/09/2025 10:34:15		Copiado:	494607.png
29/09/2025 10:34:15		Copiado:	494608.png
29/09/2025 10:34:15		Copiado:	494610.png
29/09/2025 10:34:15		Copiado:	494618.png
29/09/2025 10:34:15		Copiado:	494619.png
29/09/2025 10:34:15		Copiado:	494622.png
29/09/2025 10:34:15		Copiado:	494634.png
29/09/2025 10:34:15		Copiado:	494635.png
29/09/2025 10:34:15		Copiado:	494640.png
29/09/2025 10:34:15		Copiado:	494642.png
29/09/2025 10:34:15		Copiado:	494644.png
29/09/2025 10:34:15		Copiado:	494652.png
29/09/2025 10:34:15		Copiado:	494657.png
29/09/2025 10:34:15		Copiado:	494658.png
29/09/2025 10:34:15		Copiado:	494673.png
29/09/2025 10:34:15		Copiado:	494675.png
29/09/2025 10:34:15		Copiado:	494686.png
29/09/2025 10:34:15		Copiado:	494705.png
29/09/2025 10:34:15		Copiado:	494715.png
29/09/2025 10:34:15		Copiado:	494719.png
29/09/2025 10:34:15		Copiado:	494725.png
29/09/2025 10:34:15		Copiado:	494726.png
29/09/2025 10:34:15		Copiado:	494727.png
29/09/2025 10:34:15		Copiado:	494776.png
29/09/2025 10:34:15		Copiado:	494777.png
29/09/2025 10:34:15		Copiado:	494788.png
29/09/2025 10:34:15		Copiado:	494791.png
29/09/2025 10:34:15		Copiado:	494873.png
29/09/2025 10:34:15		Copiado:	494950.png
29/09/2025 10:34:15		Copiado:	494955.png
29/09/2025 10:34:15		Copiado:	494964.png
29/09/2025 10:34:15		Copiado:	494965.png
29/09/2025 10:34:15		Copiado:	495329.png
29/09/2025 10:34:15		Copiado:	495330.png
29/09/2025 10:34:15		Copiado:	495337.png
29/09/2025 10:34:15		Copiado:	495338.png
29/09/2025 10:34:15		Copiado:	495389.png
29/09/2025 10:34:15		Copiado:	495813.png
29/09/2025 10:34:15		Copiado:	495838.png
29/09/2025 10:34:15		Copiado:	495844.png
29/09/2025 10:34:15		Copiado:	495845.png
29/09/2025 10:34:15		Copiado:	495846.png
29/09/2025 10:34:15		Copiado:	496087.png
29/09/2025 10:34:16		Copiado:	496090.png
29/09/2025 10:34:16		Copiado:	496091.png
29/09/2025 10:34:16		Copiado:	496096.png
29/09/2025 10:34:16		Copiado:	496097.png
