F001001001VERDURAS                      01001.png
F001002002FRUTERIA                      01002.png
F001006003CONGELAT                      01006.png
F101011004MANTEGATS I POLVORON          01011.png
F101012005MANTEGADES I POLVOR.          01012.png
F101013006MANTECAT I POLVORONS          01013.png
F002003001QUESOS                        02003.png
F002004002CHARCUTERIA                   02004.png
F002005003CARNICERIA                    02005.png
F002007004ELABORADOS                    02007.png
F002008005VEDELLA                       02008.png
F002009006XAI                           02009.png
F002010007AVIRAM                        02010.png
51226535020141000000404295W000032401 MOUSSE ANEC 25     0000020000000000000000000000000
51226538020142000000402229U000032426 BLOC FOIE GRAS     0000020000000000000000000000000
51226536020145000000402836W000032416 MOUSSE ANEC RE     0000020000000000000000000000000
51226427020146000000406155U000032820 BLOC FOIE GRAS     0000020000000000000000000000000
51228522020147000000405249W000033450 SALMO NORUEC F     0000020000000000000000000000000
51226429020150000000403600U000056118 BRANDADA BACAL     0000020000000000000000000000000
51063346020155000000400275U0000836080 BOTIFARRA BLA     0000020000000000000000000000000
51063347020156000000400265U0000837080 BOTIFARRA NEG     0000020000000000000000000000000
50063398020158000000401259W0000846600 RAL-PALA A/PO     0000020000000000000000000000000
50063397020159000000401679W0000846900 RAL-PERNIL A/     0000020000000000000000000000000
50226428020161000000402685W00009330 FORM.ART.VILLAR     0000010000000000000000000000000
50143647020213000000406900U0000ESPATLLA ENCEBALL 5      0000020000000000000000000000000
51377532020263000000400759W000021792 MORTADEL.LA IN     0000020000000000000000000000000
50301044020264000000403165W000013070000 DESOSSAT GR     0000020000000000000000000000000
50305603020268000000402755W0000XORIÇO IBER.GLA EXTR     0000020000000000000000000000000
50305604020269000000402755W0000LLONGANISSA IBER.GLA     0000020000000000000000000000000
50143357020270000000401689W0000CENTRE ESPATLLA DURO     0000020000000000000000000000000
50143479020271000000403725W0000CENTRE ESPAT.AZUAGA      0000020000000000000000000000000
50143282020273000000402195W0000LLOM AD.DUROC EXTRA      0000020000000000000000000000000
50300777020285000000401602W000014300000 BACO FUMAT      0000020000000000000000000000000
50063116020041000000500709W0000100805 ORELLES           0000020000000000000000000000000
50063246020068000000500295U0000109702 LLARD TERRINA     0000020000000000000000000000000
50063124020167000000500325W0000101001 COTNES            0000020000000000000000000000000
51959907020172000000500000W0000CARN. G2 BAL (PESO)      0000020000000000000000000000000
