     1   1010010002PALETA                   0000642U02            012
  14131413010010019CAPPELLET.JAM.IBERIC     0000279U02841017301141000
  14141414010010026LECHE ATO SEMI BRIK1     0000083U03841013500141000
  14161416010010005ACEI.NEG.GUAD.C/H350     0000084U02841001000141000
  14171417010010026PACK 6U.ATO SEMI+REG     0000516U02841013590141000
   142 142010010004SOBRASADA PASTA CASA     0000440W02            030
  14271427010010005PEPINILLOS KNAX 370G     0000238U02000004008142000
   143 143010010004PICADILLO                0000481W02            030
  14311431010010006ALMETTE CREMOSO          0000150U03400267112143000
  14341434010010005PEPINILLO CORNICHO       0000296U02000004008143000
  14361436010010019TALLARINES 250           0000042U02841006900143000
  14381438010010012BIO NATURAL X4           0000164U02841050000143000
   144 144010010004TOCINO IBERICO           0000391W02            030
  54705470010010028AGUA SOLAN CABRA 1.5     0000051U02841154700150000
  14481448010010006ALEMETTE F.H.            0000150U03400267112144000
   145 145010010004PANCETA PAIS SALADA      0000581W02            030
  14501450010010019SPAGHETTI 3 250          0000042U02841006900145000
  14551455010010006ALMETTE CON YOGURT       0000150U03400267112145000
   146 146010010004PANCETA CURADA PIMIE     0000860W02            030
  14621462010010006ALMETTE AJOS FRESCOS     0000150U03400267112146000
  14691469010010026LECHE ATO ENT.BRIK/1     0000083U03841013500146000
   147 147010010022JAMON IBER.BELL. C/M     0008500W02            030
  14721472010010027COCA COLA PET50          0000093U02000005449147000
  14731473010010005ESPARRAGOS KNORR         0000057U02841012704147000
  14761476010010026LECHE ATO DESN.BRICK     0000083U03841013500147000
  14791479010010027CACAOLAT PEQUEÑO 6U      0000372U02841270078147000
   148 148010010022JAMON TERUEL             0003306W02            000
   149 149010010022JAMON TERUEL CENTRO      0003125W02            030
  14991499010010040DON LIMPIO AZUL 1.5L     0000252U01541314991149000
    15  15010010001PAPADA CERDO             0000285W02            006
   150 150010010022PALETA IBE.RECB.CENT     0004508W02            030
  15001500010010015VINO MATEUS ROSE 3-4     0000389U01560101201150000
  15021502010010027AUGA FONT AGUDE.1.5L     0004500U02841333401502000
  15031503010010012MARGARINA FLORA 500G     0000211U02841380001150000
  15041504010010005CHOCKRISPIS 375G         0000235U02841018811150000
  15061506010010005SALSA ALL I OLI 140G     0000175U02841118908150000
  15071507010010005CHOCO KELLOG'S           0000153U02400399464150000
  15081508010010005ESP.CARRT.5/8 CRT        0000315U02841041693150000
   151 151010010004LONGANIZA PAGES OFER     0000855W02            030
  15101510010010019VIRUTAS SETAS 250        0000315U02842625401510000
  15121512010010019RAVIOLI SETAS            0000249U02841017301151000
  15131513010010005RELLENA.ESPAÑOLA 450     0000084U02841022601151000
  15151515010010005ESP.CRIS.CARR.9/12       0000195U02841041693151000
   152 152010010022JAMON IBER. BELLOTA      0004748W02            000
  15201520010010005RELLENA.ESPAÑOLA 300     0000083U02841022601152000
  15211521010010027AGUA FONT AGUDE.500      0000023U02841333401521000
  15271527010010027FANTA NARANJA LATA       0000037U02544900001152000
   153 153010010022TAQUITOS JAMON BELLT     0001500W02            030
  15371537010010005RELLENA.ESPAÑOLA 350     0000095U02841022601153000
   154 154010010022TAQUITOS JAMON PAIS      0000901W02            030
  15461546010010005NESCAFE DESCAF.200G      0000583U02841010002154000
  61036103010010018BIZCOCHO CASERO CHOC     0000330U02843700158610000
   155 155010010004PAPADA CERDO IBERICO     0000262W02            030
  15501550010010027AGUA FUEN.LIVIANA 2L     0000045U02842341550100000
  15531553010010005NESCAFE DESCAF.100G      0000308U02841010002155000
  15581558010010005CONFIT.FRAMBUE.HER/2     0000173U02841021810256000
   156 156010010004SALCHICHON IBERICO       0001681W02            030
  15601560010010005NESCAFE DESCAF.50G       0000164U02841010002156000
  15621562010010040CALGON PASTILLAS         0000553U01841010475156000
  15681568010010012BIO CON CIRUELAS(X4)     0000210U02841050000156000
   157 157010010022JAMON IBER.RECEB.C/M     0005950W02            030
  15701570010010019MACARRON.CUADRADO250     0000275U02842625401570000
  15751575010010012BIO FRUTAS DEL BOSQE     0000210U02841050000157000
  15771577010010005NESCAFE SOBRE DESCA.     0000087U02841010002157000
   158 158010010004CECINA DE LEON           0002379W02            030
  15801580010010019FIDEU.FUME.PESCA.250     0000320U02842625401580000
  15841584010010005PERLAS GUADALQU. S/H     0000070U02841001000158000
   159 159010010022JAMON IBERICO RECEBO     0002644W02            000
  15971597010010019HELICES 250GR            0000042U02841006900159000
    16  16010010001PIES CERDO               0000150W02            006
   160 160010010004SALCHIC.EXTRA OFERTA     0000704W02            030
  16001600010010014PUDDING 500 G            0000432U02841491600002000
  16051605010010005ZUMOSOL NARANJ.BR.3U     0000080U02841012800160000
   161 161010010022JAMON BODEGA CENTRO      0001803W02            030
  16111611010010019RAVIOLI LOMO-QUESO       0000249U02841017301161000
  16121612010010005ZUMOSOL MELOC.3U         0000080U02841012800161000
  16181618010010005REMOLACHA HENGS          0000147U0240081618    000
   162 162010010004ESPETEC L'AVI SERRA      0000091U02841438400200030
  68576857010010012FLAN CLASICO 30G         0000100U02841370030685000
  16281628010010005TOMATE TRIT.CIDACOS1     0000057U02841331314162000
  16291629010010005ZUMOSO.PIÑA BRICK 3U     0000087U02841012800162000
  16301630010010005GALLET.FIBRA FLORA       0000097U02841380001630000
  16331633010010005PALMITOS DANI CRIST      0000199U02841072111163000
   164 164010010022PALETA IBERICA RECEB     0005900U02            000
  16491649010010005HARINA EXTR.GALLO 1      0000065U03841006902164000
   165 165010010022PALETA IBE.RECEB.C/M     0005109W02            030
  16511651010010005ESP.CRIS.CARR.9/12/1     0000306U02841041601165000
  16571657010010005POMODORACCIO 314G        0000485U02801828451165000
   166 166010010022JAMON PAIS BOD.S/P V     0000893W02            030
  16621662010010019CANELONES GALLO 20U      0000055U02841006901662000
  16741674010010040AJAX BAÑO                0000244U01            000
  16761676010010005NESCAFE NORMAL 200G      0000505U02841010002054000
   168 168010010004CHORIZO SARTA 1ª         0000510W02            030
  16801680010010005MENTOLIN EUCALIPTUS      0000781U02841024606168000
  16821682010010012MARGARINA HOLLAND        0000100U02871045402168000
  16871687010010005ALCACHOFAS COFRUSA       0000325U02841069402168000
   169 169010010003BACON AHUM.SEMI COCI     0000691W02            021
  16941694010010005APIO RALLADO             0000186U0240081694    000
  16981698010010012DAN'UP PLATA.FRESA       0000224U02841050000169000
    17  17010010001RABOS CERDO              0000210W02            004
   170 170010010003CHOPPED PAVO             0000595W02            021
  17021702010010012IOGURT LLIMONA 125G      0000156U02842008620170000
  17041704010010005SALSA AL PESTO 135       0000195U02841118908170000
   171 171010010022JAMON PAIS MOLDE         0001199W02            030
   172 172010010022JAMON SALAMANCA CENT     0002885W02            030
  17291729010010005BICARBONATO COSTA        0000039U02841060411172000
   173 173010010022PALETA IBE.BELL.CENT     0005410W02            030
  17301730010010019TORTELLONE REQUESON      0000250U02841017301112000
  17401740010010012IOGURT PRESSEC P-2       0000156U02842008620174000
 174187418010010001TELAS HIGADO CERDO       0000300W02            006
  17481748010010005ACEI.NEG.GUAD.S/H        0000075U02841001013174000
   175 175010010004FUET VELA EXTRA-NOEL     0000299U02841078301321030
   176 176010010022JAMON DESH.RESERVA       0001442W02            021
  17641764010010012IOGURT AVELLANA P-2      0000165U02842008620176000
   177 177010010022JAMON PAIS LONCHEADO     0001683W02            030
   178 178010010004SOBRASADA GEGANT         0000876W02            030
 178187818010010001ELIMINAR                 0000150W02            000
  17881788010010012IOGURT CAFE 125G P-2     0000165U02842008620178000
   179 179010010004ESPETEC EXTRA            0001115U02842121900101030
    18  18010010001CARNE REBOZAR CERDO      0000481W02            006
   180 180010010022PALETA PAIS LONCHEAD     0001248W02            030
  18001800010010005AGUA VILADRAU 1/3L       0000015U02841100210180000
  18011801010010012IOGURT MADUIXA P-2       0000156U02842008620180000
  18041804010010005PATATAS TORRES 180G      0000170U02842694400180000
   181 181010010004LACON AL HORNO DESHU     0000799W02            030
  18181818010010012IOGURT DESNA.MADUIXA     0000165U02842008620181000
  18191819010010019TORTELLONI.Q.MANCHEG     0000279U02841017301181000
   182 182010010004SALAMI EXTRA 120         0000795U02841488102006030
  18251825010010012IOGURT PRUNA P-2         0000156U02842008620182000
  18261826010010005TOMATE TRIT.CIDACOS2     0000034U02841031314182000
  18291829010010005PERLAS GUADALQUI.C/H     0000072U02841001000182000
   183 183010010022DESH.AT.RES.3 CERERZ     0001923W02            030
   184 184010010004CHORIZO ZAMORA DULCE     0001053W02            030
  18411841010010012PS.BEB.FRESA             0000303U02841050000184000
 184348434010010001VIENTRE FRESCO CERDO     0000180W02            002
  18491849010010012IOGURT NABIUS P-2        0000159U02842008620184000
   185 185010010004CHORIZO ZAMORA PICNT     0001053W02            030
  18591859010010005PIÑA MONTE 3/4           0000165U0224000011859 000
   186 186010010004LLONGANISSA PAGES CO     0001295U02843700093402030
  18701870010010012IOGURT DESN.PINYA P2     0000159U02842008620187000
  18781878010010040TAIFOL AMONIACAL 1L      0000100U01841043600187000
  18811881010010005NESCAFE NORMAL+30GR      0000480U02841010002188000
  18841884010010040MALETA ARIEL  ALPINO     0000458U01541314902188000
   189 189010010004CHORICITOS MINI          0000650W02            030
  18901890010010006MOZZAREL.BUFALA 125G     0000259U03000008046189000
  18941894010010012IOGURT DESNA.TARONJA     0000159U02842008620189000
    19  19010010001RIÑONES CERDO            0000130W02            003
   190 190010010003MORTADELA BONFI C/AC     0000475U02841488108009021
  19001900010010005MERM.MELOC.LIGERESA      0000134U02841380001900000
  19021902010010005SALSA CARBONARA 200G     0000175U02841118908190000
  19041904010010005MOSTAZA DIAFANA LUIT     0000114U02841001000190000
  19071907010010006ARIAS TRIPACK S/SAL      0000251U03841310000190000
   191 191010010003JAMON COCIDO B/S S/F     0000902W02            021
   192 192010010003JAMON C.EXT ETQ.NGR      0000750W02            021
   193 193010010004LOMO IBERICO EMBUCHA     0004755W02            030
  19401940010010006RICOTTA BALLARIN.250     0000115U03801194000016000
  19431943010010005PAN ORTIZ MULCR.30RB     0000240U02841260055194000
  19491949010010005TUR.CHOCO.SUCH.NEGRO     0000293U02762240079194000
   195 195010010004MORCON IBERICO           0001510W02            030
   988 988010010018SAF.NOR.CARQUINYOLI      0000466U02            000
   199 199010010003JAMON COCI.WESTFALIA     0000812W02841488107005021
     2   2010010001CARNE MAGRA              0000541W02            006
    20  20010010001SESOS CERDO              0000047U02            002
   200 200010010007COST.SUBPROD.TERNERA     0000002W02            000
  20002000010010005SALSA ROMESCO AMALUR     0000183U02841242220001000
 200000000010010011PATATAS DAUS             0001110U02            000
  20012001010010005ACET.BORG. 1º GLORIA     0000399U02841017902001000
  20022002010010005ACEI.NEG.MAESTR.350G     0000078U02841096512002000
  20032003010010015CAV.LOUIS VERNIE.BRU     0000400U01841064412003000
  20042004010010005CIRUELAS BORGES C/H      0000189U03841014812004000
  20052005010010005RITTER RON PASAS         0000115U02400041701200000
  20062006010010005NOCILLA VAS.CREM.210     0000124U02841001485655000
  20072007010010015VALDESPINO SECO          0000550U01841079200200000
  20082008010010005SALSA 4 QUESOS 200G      0000195U02841118908200000
   201 201010010007COST.SUBPROD.TER.DES     0000006W02            000
  20102010010010005MARBU DORADA 400         0000110U02841000000201000
  20112011010010005CORAZONES ALCACHOFAS     0000084U02841142920110000
  20122012010010005TRUFA NEGRA TROZOS       0000312U02841242200201000
  20132013010010012IOGURT MADUI.AMP.525     0000303U02842008620130000
  20142014010010005PATATAS PARIS            0000182U02841242208201000
  20182018010010005MIL FLORES 500GR         0000385U02842207400201000
   202 202010010001COST SUB.CERDO           0000003W02            000
  20202020010010015TORRES CASTA TOR.3/4     0000358U01841011300202000
  20212021010010019TALLARINES HUEVO         0000165U02841017301202000
  20242024010010019PASTA RAPI.CARBONARA     0000135U02841118906202000
  20272027010010005MARBU DORADA 200G        0000068U02841000000202000
   203 203010010008COST.SUBPROD.BOU         0000008W02            000
  20302030010010015VINO BLANCO PESCADOR     0000375U01841074500203000
  20322032010010005SURDID.PRESTIGE T-27     0000699U02800050000203000
  20352035010010003MAXIPECHUGA PAVO BD      0000880U02841032000203021
  20372037010010005ESPARRAGOS MAGGI         0000038U02841010006203000
   204 204010010005COST.SUBPROD.XAI         0000007W02            000
  20402040010010019SUPER TAGLIATELLE        0000174U02841118904204000
  20452045010010005GUISANTES ZANAHORIA      0000189U02841242208204000
  20502050010010015CONDE CARALT TINTO       0000245U01841042820502000
  20522052010010005HABAS 720G               0000189U02841242208205000
  20602060010010006RALL.FILATTO 90          0000085U03841162000206000
  20652065010010005MARBU DORADA 800         0000180U02841000000206000
  20682068010010005CHAMPIÑONES MAGGI        0000038U02841010006206000
  20702070010010018GALLETAS SALADAS         0000700U02841012050207000
  20732073010010005ROVELL. MEDAL.AMALUR     0000319U02841242201207000
  20772077010010005PAN DE LECHE             0000080U02841080402077000
  20832083010010005ZANAHORIA RALLADA        0000106U02841242208208000
  20842084010010006RALLADO FILATTO 45       0000047U03841162000208000
  20872087010010015CODORNIU BENJAMIN 3U     0000415U01841001306208000
    21  21010010001SOLOMILLO CERDO          0001150W02            006
  21002100010010005MINI.P.T.175             0000185U02841260055210000
  21012101010010005ALMEJA.CHILE.DANI200     0000132U02841072101012000
  21052105010010005POLLO FIDEOS MAGGI       0000040U02841010006210000
  21062106010010040LEJIA KALIA  LIQUIDA     0000202U01            000
  21082108010010015DON SIMON ROSADO 1L      0000105U01841026127210000
   211 211010010007BISTEC 1ª A VEDELLA      0000842W02            007
  21132113010010005HABAS 370                0000120U02841242208211000
  21152115010010015VIN. DON GARC.ROSADO     0000073U01841026103211000
  21172117010010005MIL FLORES 1KG           0000616U02842207400211000
  21192119010010005MEJ.ESC.14/18 MIAU/8     0000095U02841005401211000
